date,open,high,low,close,volume
2015-05-04,66.70,67.82,66.61,67.17,1103100
2015-05-01,66.62,67.41,65.52,66.71,1507500
2015-04-30,67.13,67.66,65.35,66.35,1771000
2015-04-29,66.36,69.00,66.01,67.92,1753700
2015-04-28,67.15,67.62,64.89,66.63,1372500
2015-04-27,68.27,69.65,67.00,67.32,1814800
2015-04-24,68.00,68.34,66.57,67.88,1454000
2015-04-23,65.72,68.69,65.50,67.81,2557800
2015-04-22,64.75,66.05,64.50,65.92,1726900
2015-04-21,63.95,65.17,63.95,64.23,1388200
2015-04-20,63.31,64.35,61.90,63.74,1518500
2015-04-17,63.92,63.94,61.23,62.41,2314600
2015-04-16,63.40,65.20,63.11,64.67,2281200
2015-04-15,61.96,63.62,61.96,63.45,1461000
2015-04-14,62.63,63.15,60.86,62.07,1684000
2015-04-13,63.08,64.19,62.41,62.47,1149800
2015-04-10,63.96,64.50,63.11,63.17,1158600
2015-04-09,63.57,64.05,62.50,63.79,1698400
2015-04-08,62.17,64.05,62.13,63.37,1729800
2015-04-07,61.83,63.74,60.91,62.09,3007100
2015-04-06,59.80,60.96,59.06,60.18,1307200
2015-04-02,58.09,59.39,57.83,59.23,1138900
2015-04-01,58.88,59.11,57.25,57.82,2005000
2015-03-31,59.39,60.39,58.94,59.20,1400000
2015-03-30,60.47,61.34,59.66,60.11,1501100
2015-03-27,59.57,60.59,59.00,60.40,1411700
2015-03-26,58.38,60.03,57.65,59.58,2004200
2015-03-25,60.41,60.45,58.07,58.72,2097700
2015-03-24,60.75,61.72,60.00,60.04,1686800
2015-03-23,61.91,62.74,60.62,60.72,1642500
2015-03-20,64.08,64.46,61.65,62.12,1977900
2015-03-19,63.85,64.68,63.14,63.73,1449100
2015-03-18,62.29,64.90,62.12,64.33,2572400
2015-03-17,61.56,63.00,61.53,62.84,1337900
2015-03-16,62.93,63.21,60.39,62.07,1959300
2015-03-13,62.25,63.17,61.85,62.82,2087800
2015-03-12,60.70,62.99,60.55,62.83,2034600
2015-03-11,61.07,62.07,60.29,60.83,1835700
2015-03-10,60.71,61.50,60.13,60.81,1897800
2015-03-09,62.53,62.74,61.25,61.83,1625700
